# ik    E (eV)      weight
    0.000000   -6.200000    0.467628
    0.000000   -6.175000    0.582245
    0.000000   -6.150000    0.780551
    0.000000   -6.125000    1.114873
    0.000000   -6.100000    1.628714
    0.000000   -6.075000    2.164329
    0.000000   -6.050000    2.196089
    0.000000   -6.025000    1.674233
    0.000000   -6.000000    1.130659
    0.000000   -5.975000    0.763636
    0.000000   -5.950000    0.536732
    0.000000   -5.925000    0.394548
    0.000000   -5.900000    0.301951
    0.000000   -5.875000    0.239193
    0.000000   -5.850000    0.195208
    0.000000   -5.825000    0.163661
    0.000000   -5.800000    0.140898
    0.000000   -5.775000    0.124849
    0.000000   -5.750000    0.114036
    0.000000   -5.725000    0.105659
    0.000000   -5.700000    0.096028
    0.000000   -5.675000    0.086374
    0.000000   -5.650000    0.079618
    0.000000   -5.625000    0.076587
    0.000000   -5.600000    0.077677
    0.000000   -5.575000    0.083630
    0.000000   -5.550000    0.092524
    0.000000   -5.525000    0.094086
    0.000000   -5.500000    0.082649
    0.000000   -5.475000    0.069223
    0.000000   -5.450000    0.060692
    0.000000   -5.425000    0.057024
    0.000000   -5.400000    0.056812
    0.000000   -5.375000    0.058313
    0.000000   -5.350000    0.057157
    0.000000   -5.325000    0.051945
    0.000000   -5.300000    0.047480
    0.000000   -5.275000    0.045860
    0.000000   -5.250000    0.044266
    0.000000   -5.225000    0.039494
    0.000000   -5.200000    0.033794
    0.000000   -5.175000    0.029468
    0.000000   -5.150000    0.026568
    0.000000   -5.125000    0.024656
    0.000000   -5.100000    0.023436
    0.000000   -5.075000    0.022754
    0.000000   -5.050000    0.022460
    0.000000   -5.025000    0.022350
    0.000000   -5.000000    0.022560
    0.000000   -4.975000    0.023551
    0.000000   -4.950000    0.025724
    0.000000   -4.925000    0.028967
    0.000000   -4.900000    0.031611
    0.000000   -4.875000    0.032650
    0.000000   -4.850000    0.033642
    0.000000   -4.825000    0.032916
    0.000000   -4.800000    0.028716
    0.000000   -4.775000    0.024067
    0.000000   -4.750000    0.020799
    0.000000   -4.725000    0.018756
    0.000000   -4.700000    0.017499
    0.000000   -4.675000    0.016737
    0.000000   -4.650000    0.016311
    0.000000   -4.625000    0.016140
    0.000000   -4.600000    0.016195
    0.000000   -4.575000    0.016484
    0.000000   -4.550000    0.017050
    0.000000   -4.525000    0.017992
    0.000000   -4.500000    0.019488
    0.000000   -4.475000    0.021848
    0.000000   -4.450000    0.025484
    0.000000   -4.425000    0.030352
