# ik    E (eV)      weight
    0.000000  -13.000000    0.445319
    0.000000  -12.975000    0.361502
    0.000000  -12.950000    0.299389
    0.000000  -12.925000    0.252162
    0.000000  -12.900000    0.215452
    0.000000  -12.875000    0.186365
    0.000000  -12.850000    0.162932
    0.000000  -12.825000    0.143777
    0.000000  -12.800000    0.127916
    0.000000  -12.775000    0.114632
    0.000000  -12.750000    0.103392
    0.000000  -12.725000    0.093793
    0.000000  -12.700000    0.085530
    0.000000  -12.675000    0.078361
    0.000000  -12.650000    0.072101
    0.000000  -12.625000    0.066600
    0.000000  -12.600000    0.061738
    0.000000  -12.575000    0.057418
    0.000000  -12.550000    0.053562
    0.000000  -12.525000    0.050105
    0.000000  -12.500000    0.046992
    0.000000  -12.475000    0.044179
    0.000000  -12.450000    0.041627
    0.000000  -12.425000    0.039304
    0.000000  -12.400000    0.037184
    0.000000  -12.375000    0.035243
    0.000000  -12.350000    0.033461
    0.000000  -12.325000    0.031821
    0.000000  -12.300000    0.030307
    0.000000  -12.275000    0.028908
    0.000000  -12.250000    0.027611
    0.000000  -12.225000    0.026407
    0.000000  -12.200000    0.025286
    0.000000  -12.175000    0.024242
    0.000000  -12.150000    0.023267
    0.000000  -12.125000    0.022355
    0.000000  -12.100000    0.021500
    0.000000  -12.075000    0.020699
    0.000000  -12.050000    0.019946
    0.000000  -12.025000    0.019238
    0.000000  -12.000000    0.018571
    0.000000  -11.975000    0.017942
    0.000000  -11.950000    0.017348
    0.000000  -11.925000    0.016787
    0.000000  -11.900000    0.016255
    0.000000  -11.875000    0.015752
    0.000000  -11.850000    0.015275
    0.000000  -11.825000    0.014823
    0.000000  -11.800000    0.014393
    0.000000  -11.775000    0.013984
    0.000000  -11.750000    0.013595
    0.000000  -11.725000    0.013225
    0.000000  -11.700000    0.012872
    0.000000  -11.675000    0.012535
    0.000000  -11.650000    0.012214
    0.000000  -11.625000    0.011908
    0.000000  -11.600000    0.011615
    0.000000  -11.575000    0.011334
    0.000000  -11.550000    0.011066
    0.000000  -11.525000    0.010810
    0.000000  -11.500000    0.010564
    0.000000  -11.475000    0.010329
    0.000000  -11.450000    0.010103
    0.000000  -11.425000    0.009887
    0.000000  -11.400000    0.009679
    0.000000  -11.375000    0.009479
    0.000000  -11.350000    0.009288
    0.000000  -11.325000    0.009104
    0.000000  -11.300000    0.008927
    0.000000  -11.275000    0.008757
    0.000000  -11.250000    0.008593
    0.000000  -11.225000    0.008436
    0.000000  -11.200000    0.008284
    0.000000  -11.175000    0.008139
    0.000000  -11.150000    0.007998
    0.000000  -11.125000    0.007863
    0.000000  -11.100000    0.007733
    0.000000  -11.075000    0.007607
    0.000000  -11.050000    0.007486
    0.000000  -11.025000    0.007370
    0.000000  -11.000000    0.007257
    0.000000  -10.975000    0.007149
    0.000000  -10.950000    0.007044
    0.000000  -10.925000    0.006944
    0.000000  -10.900000    0.006846
    0.000000  -10.875000    0.006753
    0.000000  -10.850000    0.006662
    0.000000  -10.825000    0.006575
    0.000000  -10.800000    0.006491
    0.000000  -10.775000    0.006410
    0.000000  -10.750000    0.006332
    0.000000  -10.725000    0.006256
    0.000000  -10.700000    0.006183
    0.000000  -10.675000    0.006113
    0.000000  -10.650000    0.006046
    0.000000  -10.625000    0.005980
    0.000000  -10.600000    0.005918
    0.000000  -10.575000    0.005857
    0.000000  -10.550000    0.005799
    0.000000  -10.525000    0.005743
    0.000000  -10.500000    0.005689
    0.000000  -10.475000    0.005637
    0.000000  -10.450000    0.005587
    0.000000  -10.425000    0.005539
    0.000000  -10.400000    0.005494
    0.000000  -10.375000    0.005449
    0.000000  -10.350000    0.005407
    0.000000  -10.325000    0.005367
    0.000000  -10.300000    0.005328
    0.000000  -10.275000    0.005291
    0.000000  -10.250000    0.005255
    0.000000  -10.225000    0.005222
    0.000000  -10.200000    0.005190
    0.000000  -10.175000    0.005159
    0.000000  -10.150000    0.005130
    0.000000  -10.125000    0.005103
    0.000000  -10.100000    0.005077
    0.000000  -10.075000    0.005052
    0.000000  -10.050000    0.005029
    0.000000  -10.025000    0.005008
    0.000000  -10.000000    0.004987
    0.000000   -9.975000    0.004969
    0.000000   -9.950000    0.004951
    0.000000   -9.925000    0.004935
    0.000000   -9.900000    0.004921
    0.000000   -9.875000    0.004908
    0.000000   -9.850000    0.004896
    0.000000   -9.825000    0.004885
    0.000000   -9.800000    0.004876
    0.000000   -9.775000    0.004868
    0.000000   -9.750000    0.004862
    0.000000   -9.725000    0.004856
    0.000000   -9.700000    0.004852
    0.000000   -9.675000    0.004850
    0.000000   -9.650000    0.004849
    0.000000   -9.625000    0.004849
    0.000000   -9.600000    0.004850
    0.000000   -9.575000    0.004853
    0.000000   -9.550000    0.004857
    0.000000   -9.525000    0.004863
    0.000000   -9.500000    0.004870
    0.000000   -9.475000    0.004878
    0.000000   -9.450000    0.004888
    0.000000   -9.425000    0.004899
    0.000000   -9.400000    0.004911
    0.000000   -9.375000    0.004925
    0.000000   -9.350000    0.004941
    0.000000   -9.325000    0.004958
    0.000000   -9.300000    0.004976
    0.000000   -9.275000    0.004996
    0.000000   -9.250000    0.005018
    0.000000   -9.225000    0.005041
    0.000000   -9.200000    0.005066
    0.000000   -9.175000    0.005093
    0.000000   -9.150000    0.005121
    0.000000   -9.125000    0.005151
    0.000000   -9.100000    0.005183
    0.000000   -9.075000    0.005216
    0.000000   -9.050000    0.005252
    0.000000   -9.025000    0.005289
    0.000000   -9.000000    0.005328
    0.000000   -8.975000    0.005370
    0.000000   -8.950000    0.005413
    0.000000   -8.925000    0.005459
    0.000000   -8.900000    0.005507
    0.000000   -8.875000    0.005557
    0.000000   -8.850000    0.005609
    0.000000   -8.825000    0.005664
    0.000000   -8.800000    0.005722
    0.000000   -8.775000    0.005782
    0.000000   -8.750000    0.005844
    0.000000   -8.725000    0.005910
    0.000000   -8.700000    0.005978
    0.000000   -8.675000    0.006050
    0.000000   -8.650000    0.006125
    0.000000   -8.625000    0.006203
    0.000000   -8.600000    0.006284
    0.000000   -8.575000    0.006369
    0.000000   -8.550000    0.006457
    0.000000   -8.525000    0.006550
    0.000000   -8.500000    0.006646
    0.000000   -8.475000    0.006747
    0.000000   -8.450000    0.006852
    0.000000   -8.425000    0.006962
    0.000000   -8.400000    0.007076
    0.000000   -8.375000    0.007195
    0.000000   -8.350000    0.007320
    0.000000   -8.325000    0.007451
    0.000000   -8.300000    0.007587
    0.000000   -8.275000    0.007729
    0.000000   -8.250000    0.007878
    0.000000   -8.225000    0.008034
    0.000000   -8.200000    0.008197
    0.000000   -8.175000    0.008367
    0.000000   -8.150000    0.008545
    0.000000   -8.125000    0.008732
    0.000000   -8.100000    0.008928
    0.000000   -8.075000    0.009134
    0.000000   -8.050000    0.009349
    0.000000   -8.025000    0.009575
    0.000000   -8.000000    0.009813
    0.000000   -7.975000    0.010062
    0.000000   -7.950000    0.010325
    0.000000   -7.925000    0.010601
    0.000000   -7.900000    0.010892
    0.000000   -7.875000    0.011199
    0.000000   -7.850000    0.011522
    0.000000   -7.825000    0.011863
    0.000000   -7.800000    0.012224
    0.000000   -7.775000    0.012605
    0.000000   -7.750000    0.013009
    0.000000   -7.725000    0.013436
    0.000000   -7.700000    0.013890
    0.000000   -7.675000    0.014371
    0.000000   -7.650000    0.014883
    0.000000   -7.625000    0.015427
    0.000000   -7.600000    0.016007
    0.000000   -7.575000    0.016626
    0.000000   -7.550000    0.017287
